python3 train.py
Ordinary Least Squares Calculated thetas: theta_0 (intercept) = 8499.599649933216, theta_1 (slope) = -0.021448963591702303
Iteration 68: slope = 0.0685694336973205, intercept_y = 0.4159488960722262, y_pred = 0.01
Iteration 69: slope = 0.06832899192465575, intercept_y = 0.41869418087296645, y_pred = 0.01
Iteration 70: slope = 0.06807005992387564, intercept_y = 0.42138615497946136, y_pred = 0.01
Iteration 71: slope = 0.06779308172760148, intercept_y = 0.42402602102580544, y_pred = 0.01
Iteration 72: slope = 0.06749849125279826, intercept_y = 0.42661495432139396, y_pred = 0.01
Iteration 73: slope = 0.06718671253070833, intercept_y = 0.4291541034719539, y_pred = 0.01
Iteration 74: slope = 0.06685815993155908, intercept_y = 0.43164459098646013, y_pred = 0.01
Iteration 75: slope = 0.06651323838416336, intercept_y = 0.4340875138702579, y_pred = 0.01
Iteration 76: slope = 0.06615234359052881, intercept_y = 0.436483944204704, y_pred = 0.01
Iteration 77: slope = 0.06577586223558946, intercept_y = 0.4388349297136345, y_pred = 0.01
Iteration 78: slope = 0.06538417219217052, intercept_y = 0.44114149431695737, y_pred = 0.01
Iteration 79: slope = 0.06497764272129468, intercept_y = 0.44340463867166285, y_pred = 0.01
Iteration 80: slope = 0.06455663466793574, intercept_y = 0.445625340700538, y_pred = 0.01
Iteration 81: slope = 0.06412150065232315, intercept_y = 0.4478045561088643, y_pred = 0.01
Iteration 82: slope = 0.06367258525689856, intercept_y = 0.4499432188893719, y_pred = 0.01
Iteration 83: slope = 0.06321022520902304, intercept_y = 0.4520422418157167, y_pred = 0.01
Iteration 84: slope = 0.06273474955953182, intercept_y = 0.45410251692474246, y_pred = 0.01
Iteration 85: slope = 0.06224647985723072, intercept_y = 0.4561249159877811, y_pred = 0.01
Iteration 86: slope = 0.061745730319426574, intercept_y = 0.45811029097124184, y_pred = 0.01
Iteration 87: slope = 0.06123280799858182, intercept_y = 0.46005947448673173, y_pred = 0.01
Iteration 88: slope = 0.060708012945181265, intercept_y = 0.4619732802309458, y_pred = 0.01
Iteration 89: slope = 0.06017163836689721, intercept_y = 0.46385250341555945, y_pred = 0.01
Iteration 90: slope = 0.05962397078413701, intercept_y = 0.46569792118735004, y_pred = 0.01
Iteration 91: slope = 0.059065290182055315, intercept_y = 0.46751029303877, y_pred = 0.01
Iteration 92: slope = 0.058495870159111285, intercept_y = 0.4692903612091884, y_pred = 0.01
Iteration 93: slope = 0.0579159780722494, intercept_y = 0.47103885107701277, y_pred = 0.01
Iteration 94: slope = 0.05732587517878054, intercept_y = 0.47275647154289924, y_pred = 0.01
Iteration 95: slope = 0.056725816775038324, intercept_y = 0.47444391540425257, y_pred = 0.01
Iteration 96: slope = 0.05611605233188407, intercept_y = 0.47610185972121466, y_pred = 0.01
Iteration 97: slope = 0.055496825627131895, intercept_y = 0.47773096617433486, y_pred = 0.01
Iteration 98: slope = 0.054868374874964085, intercept_y = 0.47933188141411104, y_pred = 0.01
Iteration 99: slope = 0.054230932852404996, intercept_y = 0.48090523740258634, y_pred = 0.01
Iteration 100: slope = 0.05358472702292047, intercept_y = 0.4824516517471819, y_pred = 0.01
Iteration 101: slope = 0.05292997965720801, intercept_y = 0.4839717280269424, y_pred = 0.01
Iteration 102: slope = 0.052266907951241615, intercept_y = 0.4854660561113664, y_pred = 0.01
Iteration 103: slope = 0.051595724141633624, intercept_y = 0.4869352124719905, y_pred = 0.01
